CRANKSHAFT	PART
ASSEMBLY	PART
Preparation	O
:	O
1	O
0	O
Inspect	OPER
the	O
bore	PART
of	O
the	O
Crank	PART
Timing	PART
Gear	PART
for	O
burrs	O
0	O
If	O
necessary	O
,	O
lightly	O
polish	OPER
it	O
with	O
fine	O
emery	TOOL
cloth	TOOL
0	O
2	O
0	O
Thoroughly	O
clean	OPER
all	O
parts	PART
with	O
Mineral	PART
Spirits	PART
0	O
3	O
0	O
Remove	OPER
the	O
four	QTY
-LRB-	O
4	O
-RRB-	O
hex	PART
plugs	PART
from	O
the	O
crankshaft	PART
and	O
thoroughly	O
clean	OPER
the	O
crankshaft	PART
with	O
Mineral	PART
Spirits	PART
0	O
Re-install	OPER
the	O
hex	PART
plugs	PART
with	O
Locktite	PART
#	ID
242	ID
0	O
4	O
0	O
Test	OPER
fit	O
the	O
prop	O
hub	O
0	O
The	O
prop	O
hub	O
should	O
not	O
slide	O
onto	RPOS
the	O
crankshaft	PART
0	O
5	O
0	O
Place	OPER
the	O
cleaned	PROP
crankshaft	PART
in	O
a	O
freezer	PART
at	O
least	O
12	O
hours	O
prior	O
to	O
assembly	OPER
0	O
6	O
0	O
Heat	OPER
an	O
oven	TOOL
to	O
450o	O
F.	O
Place	OPER
the	O
crank	PART
timing	PART
gear	PART
and	O
prop	PART
hub	PART
in	O
the	O
oven	TOOL
and	O
heat	O
for	O
60	O
minutes	O
0	O
7	O
0	O
Apply	OPER
an	O
even	O
coat	PART
of	O
white	PROP
lithium	PART
grease	PART
to	O
the	O
inside	RPOS
surface	O
of	O
bearing	PART
#	ID
1	ID
and	O
bearing	PART
#	ID
2	ID
from	O
the	O
Main	PART
Bearing	PART
Set	O
0	O
Assembly	OPER
Instructions	O
:	O
1	O
0	O
Install	OPER
the	O
Aft	PART
Woodruff	PART
Key	PART
into	RPOS
the	O
crankshaft	PART
0	O
Make	O
sure	O
it	O
is	O
fully	O
seated	RPOS
0	O
2	O
0	O
Slide	OPER
bearing	PART
#	ID
2	ID
-LRB-	O
with	O
an	O
even	O
coat	PART
of	O
white	PROP
lithium	PART
grease	PART
applied	O
to	O
the	O
inside	RPOS
surface	O
-RRB-	O
onto	RPOS
the	O
crankshaft	PART
with	O
the	O
machined	O
dot	O
-LRB-	O
arrow	O
in	O
photo	O
-RRB-	O
toward	RPOS
the	O
crankshaft	PART
's	O
counter-weight	PART
0	O
3	O
0	O
Install	OPER
the	O
Timing	PART
Gear	PART
with	O
the	O
two	QTY
machined	PART
dots	PART
-LRB-	O
arrow	O
in	O
photo	O
-RRB-	O
facing	RPOS
away	O
from	O
bearing	PART
#	O
2	O
0	O
4	O
0	O
Install	OPER
the	O
Retaining	PART
Ring	PART
in	O
the	O
groove	O
in	O
the	O
crank	PART
0	O
5	O
0	O
Enlarge	O
the	O
oil	PART
supply	O
hole	O
in	O
bearing	PART
#	ID
1	ID
by	O
updrilling	OPER
it	O
with	O
a	O
#	ID
30	ID
drill	PART
bit	PART
0	O
Remove	OPER
any	O
burrs	O
which	O
may	O
occur	O
while	O
drilling	OPER
0	O
6	O
0	O
Slide	OPER
bearing	PART
#	ID
1	ID
-LRB-	O
with	O
an	O
even	O
coat	PART
of	O
white	PROP
lithium	PART
grease	PART
applied	O
to	O
the	O
inside	RPOS
surface	O
-RRB-	O
onto	RPOS
the	O
crankshaft	PART
with	O
the	O
machined	PART
dot	PART
-LRB-	O
arrow	O
in	O
photo	O
-RRB-	O
toward	RPOS
the	O
retaining	PART
ring	PART
0	O
7	O
0	O
Slide	OPER
the	O
Oil	PART
Slinger	PART
onto	RPOS
the	O
crankshaft	PART
with	O
the	O
curved	PROP
-LRB-	O
concave	PROP
-RRB-	O
side	RPOS
of	O
the	O
slinger	PART
facing	RPOS
the	O
end	RPOS
of	O
the	O
crankshaft	PART
0	O
8	O
0	O
Install	OPER
the	O
Forward	PART
Woodruff	PART
Key	PART
into	RPOS
the	O
crankshaft	PART
0	O
9	O
0	O
Align	OPER
the	O
keyway	PART
of	O
the	O
Prop	PART
Hub	PART
with	O
the	O
forward	RPOS
woodruff	PART
key	PART
installed	OPER
in	O
the	O
crankshaft	PART
and	O
tap	OPER
the	O
prop	PART
hub	PART
into	RPOS
place	O
using	O
a	O
mallet	PART
and	O
block	PART
of	PART
wood	PART
0	O
The	O
prop	PART
hub	PART
must	O
be	O
tight	O
against	RPOS
the	O
oil	PART
slinger	PART
0	O
Immediately	O
install	OPER
prop	PART
hub	PART
Bushing	PART
and	O
Washer	PART
and	O
Bolt	PART
-LRB-	O
ACV-Z01-74	ID
-RRB-	O
0	O
Use	O
an	O
impact	TOOL
wrench	TOOL
to	O
tighten	OPER
the	O
bolt	PART
and	O
push	OPER
the	O
prop	PART
hub	PART
against	RPOS
the	O
oil	PART
slinger	PART
0	O
CAM	PART
ASSEMBLY	OPER
Instructions	O
:	O
Note	O
:	O
The	O
Assembly	O
Lube	O
provided	O
with	O
the	O
cam	PART
gear	PART
will	O
be	O
used	O
to	O
lubricate	O
the	O
valve	PART
lifters	PART
in	O
a	O
later	O
operation	O
0	O
Do	O
not	O
lubricate	OPER
the	O
cam	PART
shaft	PART
bolts	PART
as	O
instructed	O
on	O
the	O
assembly	PART
lube	PART
package	O
included	O
with	O
the	O
cam	PART
shaft	PART
0	O
Note	O
:	O
Cam	PART
shafts	PART
are	O
supplied	O
with	O
varying	QTY
hardware	O
,	O
all	O
of	O
which	O
is	O
acceptable	O
0	O
Use	O
the	O
hardware	O
supplied	O
with	O
the	O
cam	PART
to	O
attach	OPER
the	O
cam	PART
gear	PART
0	O
This	O
may	O
include	O
either	O
:	O
Cam	PART
Bolts	PART
with	O
integral	O
lock	PART
washers	PART
0	O
Cam	PART
bolts	PART
and	O
wavy	PART
spring	PART
washers	PART
0	O
Cam	PART
bolts	PART
and	O
tab	O
lock	PART
washers	PART
0	O
Note	O
:	O
While	O
not	O
common	O
,	O
slight	O
interference	O
between	RPOS
the	O
cam	PART
and	O
the	O
connecting	O
rods	PART
does	O
occasionally	O
occur	O
0	O
One	O
cause	O
of	O
this	O
interference	O
is	O
a	O
raised	O
edge	O
around	RPOS
the	O
numbers	O
stamped	O
in	O
the	O
shaft	PART
of	O
the	O
cam	O
0	O
Lightly	O
polishing	O
these	O
numbers	O
will	O
remove	OPER
the	O
raised	O
edge	O
and	O
eliminate	OPER
a	O
possible	O
source	O
of	O
interference	O
0	O
1	O
0	O
Align	OPER
the	O
machined	PART
dot	PART
on	O
the	O
face	O
of	O
the	O
Cam	PART
Gear	PART
-LRB-	O
arrow	O
in	O
photo	O
-RRB-	O
with	O
the	O
slot	PART
in	O
the	O
Cam	PART
Shaft	PART
0	O
Apply	OPER
Red	PROP
Locktite	PART
to	O
the	O
bolts	PART
and	O
install	OPER
the	O
bolts	PART
and	O
washers	PART
-LRB-	O
if	O
provided	O
-RRB-	O
0	O
2	O
0	O
Torque	OPER
the	O
bolts	PART
to	O
20	O
ft-lbs	O
0	O
3	O
0	O
If	O
tabbed	PROP
washers	PART
were	O
provided	O
with	O
your	O
cam	PART
shaft	PART
,	O
bend	OPER
the	O
tabs	PART
against	RPOS
the	O
bolt	PART
heads	PART
with	O
a	O
flat	PROP
blade	TOOL
screwdriver	PART
0	O
CONNECTING	PART
ROD	PART
ASSEMBLY	PART
Instructions	O
:	O
Note	O
:	O
Both	QTY
parts	O
of	O
each	O
connecting	PART
rod	PART
are	O
stamped	O
with	O
a	O
unique	O
number	O
,	O
identifying	O
them	O
as	O
matched	O
parts	O
0	O
The	O
connecting	PART
rods	PART
must	O
be	O
reassembled	OPER
as	O
matched	O
parts	O
,	O
with	O
the	O
numbers	O
together	O
as	O
shown	O
in	O
this	O
photograph	O
0	O
1	O
0	O
Remove	OPER
the	O
fastener	PART
from	O
each	O
Connecting	PART
Rod	PART
and	O
carefully	O
separate	OPER
the	O
two	QTY
parts	O
0	O
Do	O
not	O
scratch	OPER
or	O
score	O
the	O
machined	O
surface	O
of	O
the	O
connecting	PART
rods	PART
0	O
2	O
0	O
Wipe	OPER
the	O
mating	O
surfaces	O
of	O
the	O
connecting	PART
rods	PART
and	O
bearing	PART
halves	PART
so	O
they	O
are	O
free	O
of	O
oil	PART
and	O
dust	O
0	O
Install	OPER
the	O
bearing	PART
halves	PART
by	O
aligning	OPER
the	O
tab	O
on	O
each	O
bearing	PART
half	PART
with	O
the	O
notch	O
in	O
each	O
connecting	PART
rod	PART
and	O
pressing	OPER
the	O
bearing	PART
halves	PART
into	RPOS
place	RPOS
0	O
Note	O
:	O
The	O
clearance	O
between	RPOS
the	O
rod	PART
bearings	PART
and	O
rod	PART
journals	PART
must	O
be	O
between	O
2	DIM
''	DIM
and	O
0,0025	DIM
''	DIM
0	O
When	O
assembling	OPER
new	O
parts	O
,	O
as	O
provided	O
in	O
the	O
AeroVee	O
2,1	O
kit	O
,	O
the	O
proper	O
clearance	O
is	O
often	O
assumed	O
0	O
When	O
rebuilding	OPER
an	O
engine	PART
using	O
remanufactured	O
parts	O
,	O
this	O
clearance	O
must	O
be	O
checked	OPER
0	O
Detailed	O
instructions	O
for	O
checking	OPER
this	O
clearance	O
are	O
given	O
in	O
Tom	O
Wilson	O
's	O
book	O
``	O
How	O
to	O
Rebuild	OPER
Your	O
Volkswagen	O
Air	PART
Cooled	PART
Engine	PART
''	O
0	O
3	O
0	O
Apply	OPER
an	O
even	O
coat	PART
of	O
white	PROP
lithium	PART
grease	PART
to	O
the	O
exposed	O
surfaces	O
of	O
each	O
bearing	PART
half	PART
0	O
4	O
0	O
The	O
connecting	PART
rods	PART
are	O
attached	O
to	O
the	O
crankshaft	PART
,	O
as	O
shown	O
in	O
the	O
photo	O
below	O
,	O
with	O
the	O
stamped	O
numbers	O
facing	RPOS
up	RPOS
0	O
Be	O
sure	O
to	O
re-assemble	OPER
the	O
connecting	PART
rods	PART
as	O
matched	O
parts	O
0	O
5	O
0	O
ACV-P06-33	ID
Rods	PART
only	O
-LRB-	O
with	O
starred	PART
bolt	PART
and	O
nut	PART
-RRB-	O
:	O
Apply	OPER
Moly	PART
Lube	PART
to	O
each	O
rod	PART
bolt	PART
and	O
install	OPER
0	O
Torque	O
each	O
bolt	PART
as	O
follows	O
:	O
first	O
to	O
8	O
ft.-lbs	O
0	O
then	O
to	O
15	O
ft.-lbs	O
0	O
then	O
24	O
ft.-lbs	O
0	O
Then	O
the	O
final	O
torque	O
of	O
38	O
ft.-lbs	O
0	O
ACV-P01-33	ID
Rods	PART
only	O
-LRB-	O
with	O
hex	PART
bolt	PART
-RRB-	O
:	O
Apply	OPER
``	O
Red	PROP
''	O
Locktite	PART
-LRB-	O
or	O
,	O
if	O
supplied	O
with	O
your	O
rods	PART
,	O
ARP	O
Ultra-Torque	O
-RRB-	O
to	O
the	O
threads	O
of	O
each	O
rod	PART
bolt	PART
and	O
install	OPER
0	O
Torque	O
each	O
bolt	PART
in	O
four	QTY
steps	O
:	O
first	O
to	O
8	O
ft.-lbs	O
0	O
then	O
to	O
15	O
ft.-lbs	O
0	O
then	O
24	O
ft.-lbs	O
0	O
Then	O
the	O
final	O
torque	O
of	O
30	O
ft.-lbs	O
0	O
6	O
0	O
Check	OPER
each	O
connecting	PART
rod	PART
for	O
freedom	O
of	O
movement	O
and	O
5	DIM
''	DIM
to	O
0,02	DIM
''	DIM
side	O
clearance	O
0	O
CRANK	PART
CASE	PART
PREPARATION	O
Preparation	O
:	O
1	O
0	O
Separate	OPER
the	O
case	PART
halves	PART
and	O
thoroughly	O
clean	OPER
them	O
with	O
mineral	PART
spirits	PART
0	O
Remove	OPER
all	O
traces	O
of	O
metal	O
chips	O
and	O
dust	O
from	O
the	O
case	O
0	O
Pay	O
particular	O
attention	O
to	O
removing	O
metal	O
chips	O
which	O
still	O
cling	O
to	O
the	O
edge	O
of	O
machined	O
surfaces	O
-LRB-	O
see	O
photo	O
-RRB-	O
and	O
to	O
casting	O
slag	O
on	O
the	O
inside	RPOS
of	O
the	O
case	O
which	O
may	O
dislodge	O
after	O
the	O
engine	PART
is	O
in	O
service	O
0	O
2	O
0	O
If	O
you	O
are	O
painting	O
the	O
case	O
,	O
now	O
is	O
the	O
best	O
time	O
to	O
do	O
so	O
0	O
Mask	O
off	O
all	O
machined	O
surfaces	O
,	O
mating	O
surfaces	O
,	O
and	O
holes	O
before	O
painting	O
0	O
Assembly	OPER
Instructions	O
:	O
1	O
0	O
Install	OPER
the	O
head	PART
studs	PART
as	O
shown	O
in	O
the	O
photos	O
below	RPOS
0	O
2	O
0	O
Lay	O
the	O
case	PART
on	O
it	O
's	O
side	RPOS
so	O
the	O
oil	PART
pressure	O
relief	PART
ports	PART
in	O
the	O
bottom	RPOS
of	O
the	O
case	PART
are	O
accessible	O
0	O
3	O
0	O
Find	O
the	O
oil	PART
pressure	PART
relief	PART
plungers	PART
-LRB-	O
2	O
-RRB-	O
,	O
springs	PART
-LRB-	O
1	O
long	PROP
,	O
1	O
short	PROP
-RRB-	O
,	O
metal	O
gaskets	PART
-LRB-	O
2	O
-RRB-	O
and	O
retaining	PART
plugs	PART
-LRB-	O
2	O
-RRB-	O
in	O
the	O
Case	PART
Kit	O
0	O
Note	O
:	O
The	O
remainder	O
of	O
the	O
case	PART
kit	O
may	O
be	O
discarded	O
as	O
it	O
is	O
not	O
needed	O
on	O
the	O
AeroVee	O
0	O
4	O
0	O
Insert	OPER
the	O
grooved	O
plunger	O
,	O
lightly	O
lubricated	PART
with	O
motor	PART
oil	PART
,	O
solid	O
end	O
first	O
into	RPOS
the	O
oil	PART
pressure	PART
relief	PART
port	PART
in	O
the	O
bottom	RPOS
of	O
the	O
case	PART
near	RPOS
the	O
prop	PART
hub	PART
0	O
Note	O
:	O
The	O
plungers	PART
must	O
move	O
freely	O
in	O
the	O
passages	O
0	O
If	O
